date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:58:44	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2022%20Apr%202024%2005:58:43%20GMT	https://test.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713.eot	C:/My%20Web%20Sites/LAIT/test.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713.eot	(from https://test.b12sites.com/)
01:58:45	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2022%20Apr%202024%2005:58:45%20GMT	http://test.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.woff2	C:/My%20Web%20Sites/LAIT/test.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.woff2	(from https://test.b12sites.com/)
01:58:45	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2022%20Apr%202024%2005:58:45%20GMT	https://test.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713.eot?	C:/My%20Web%20Sites/LAIT/test.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713d41d.eot	(from https://test.b12sites.com/)
01:58:46	979/979	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Apr%202024%2005:58:45%20GMT	https://test.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.woff2	C:/My%20Web%20Sites/LAIT/test.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.1e.delayed	(from https://test.b12sites.com/)
01:58:47	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2022%20Apr%202024%2005:58:45%20GMT	http://test.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.woff	C:/My%20Web%20Sites/LAIT/test.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.woff	(from https://test.b12sites.com/)
01:58:49	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2022%20Apr%202024%2005:58:48%20GMT	http://test.b12sites.com/assets/fonts/fontawesome-webfont-b06871f281fee6b241d60582ae9369b9.ttf	C:/My%20Web%20Sites/LAIT/test.b12sites.com/assets/fonts/fontawesome-webfont-b06871f281fee6b241d60582ae9369b9.ttf	(from https://test.b12sites.com/)
01:58:49	98024/98024	---M--	200	added ('OK')	font/woff	date:Mon,%2022%20Apr%202024%2005:58:48%20GMT	https://test.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.woff	C:/My%20Web%20Sites/LAIT/test.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.woff	(from https://test.b12sites.com/)
01:58:50	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2022%20Apr%202024%2005:58:49%20GMT	http://test.b12sites.com/assets/fonts/fontawesome-webfont-912ec66d7572ff821749319396470bde.svg	C:/My%20Web%20Sites/LAIT/test.b12sites.com/assets/fonts/fontawesome-webfont-912ec66d7572ff821749319396470bde.svg	(from https://test.b12sites.com/)
01:58:50	165548/165548	---M--	200	added ('OK')	font/ttf	date:Mon,%2022%20Apr%202024%2005:58:49%20GMT	https://test.b12sites.com/assets/fonts/fontawesome-webfont-b06871f281fee6b241d60582ae9369b9.ttf	C:/My%20Web%20Sites/LAIT/test.b12sites.com/assets/fonts/fontawesome-webfont-b06871f281fee6b241d60582ae9369b9.ttf	(from https://test.b12sites.com/)
01:58:51	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2022%20Apr%202024%2005:58:50%20GMT	http://test.b12sites.com/assets/fonts/ajax-loader-c5cd7f5300576ab4c88202b42f6ded62.gif	C:/My%20Web%20Sites/LAIT/test.b12sites.com/assets/fonts/ajax-loader-c5cd7f5300576ab4c88202b42f6ded62.gif	(from https://test.b12sites.com/)
01:58:51	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2022%20Apr%202024%2005:58:50%20GMT	https://test.b12sites.com/assets/fonts/fontawesome-webfont-912ec66d7572ff821749319396470bde.svg	C:/My%20Web%20Sites/LAIT/test.b12sites.com/assets/fonts/fontawesome-webfont-912ec66d7572ff821749319396470bde.svg	(from https://test.b12sites.com/)
01:58:53	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2022%20Apr%202024%2005:58:51%20GMT	http://test.b12sites.com/assets/fonts/slick-ced611daf7709cc778da928fec876475.eot	C:/My%20Web%20Sites/LAIT/test.b12sites.com/assets/fonts/slick-ced611daf7709cc778da928fec876475.eot	(from https://test.b12sites.com/)
01:58:53	4178/4178	---M--	200	added ('OK')	image/gif	date:Mon,%2022%20Apr%202024%2005:58:51%20GMT	https://test.b12sites.com/assets/fonts/ajax-loader-c5cd7f5300576ab4c88202b42f6ded62.gif	C:/My%20Web%20Sites/LAIT/test.b12sites.com/assets/fonts/ajax-loader-c5cd7f5300576ab4c88202b42f6ded62.gif	(from https://test.b12sites.com/)
01:58:54	2048/2048	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2022%20Apr%202024%2005:58:53%20GMT	https://test.b12sites.com/assets/fonts/slick-ced611daf7709cc778da928fec876475.eot	C:/My%20Web%20Sites/LAIT/test.b12sites.com/assets/fonts/slick-ced611daf7709cc778da928fec876475.eot	(from https://test.b12sites.com/)
01:58:54	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2022%20Apr%202024%2005:58:53%20GMT	http://test.b12sites.com/assets/fonts/slick-ced611daf7709cc778da928fec876475.eot?	C:/My%20Web%20Sites/LAIT/test.b12sites.com/assets/fonts/slick-ced611daf7709cc778da928fec876475d41d.eot	(from https://test.b12sites.com/)
01:58:54	2048/2048	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2022%20Apr%202024%2005:58:54%20GMT	https://test.b12sites.com/assets/fonts/slick-ced611daf7709cc778da928fec876475.eot?	C:/My%20Web%20Sites/LAIT/test.b12sites.com/assets/fonts/slick-ced611daf7709cc778da928fec876475d41d.eot	(from https://test.b12sites.com/)
01:58:54	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2022%20Apr%202024%2005:58:54%20GMT	http://test.b12sites.com/assets/fonts/slick-b7c9e1e479de3b53f1e4e30ebac2403a.woff	C:/My%20Web%20Sites/LAIT/test.b12sites.com/assets/fonts/slick-b7c9e1e479de3b53f1e4e30ebac2403a.woff	(from https://test.b12sites.com/)
01:58:55	1380/1380	---M--	200	added ('OK')	font/woff	date:Mon,%2022%20Apr%202024%2005:58:54%20GMT	https://test.b12sites.com/assets/fonts/slick-b7c9e1e479de3b53f1e4e30ebac2403a.woff	C:/My%20Web%20Sites/LAIT/test.b12sites.com/assets/fonts/slick-b7c9e1e479de3b53f1e4e30ebac2403a.woff	(from https://test.b12sites.com/)
01:58:55	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2022%20Apr%202024%2005:58:54%20GMT	http://test.b12sites.com/assets/fonts/slick-d41f55a78e6f49a5512878df1737e58a.ttf	C:/My%20Web%20Sites/LAIT/test.b12sites.com/assets/fonts/slick-d41f55a78e6f49a5512878df1737e58a.ttf	(from https://test.b12sites.com/)
01:58:55	1892/1892	---M--	200	added ('OK')	font/ttf	date:Mon,%2022%20Apr%202024%2005:58:55%20GMT	https://test.b12sites.com/assets/fonts/slick-d41f55a78e6f49a5512878df1737e58a.ttf	C:/My%20Web%20Sites/LAIT/test.b12sites.com/assets/fonts/slick-d41f55a78e6f49a5512878df1737e58a.ttf	(from https://test.b12sites.com/)
01:58:56	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2022%20Apr%202024%2005:58:55%20GMT	http://test.b12sites.com/assets/fonts/slick-f97e3bbf73254b0112091d0192f17aec.svg	C:/My%20Web%20Sites/LAIT/test.b12sites.com/assets/fonts/slick-f97e3bbf73254b0112091d0192f17aec.svg	(from https://test.b12sites.com/)
01:58:56	2152/2152	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2022%20Apr%202024%2005:58:55%20GMT	https://test.b12sites.com/assets/fonts/slick-f97e3bbf73254b0112091d0192f17aec.svg	C:/My%20Web%20Sites/LAIT/test.b12sites.com/assets/fonts/slick-f97e3bbf73254b0112091d0192f17aec.svg	(from https://test.b12sites.com/)
01:58:56	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2022%20Apr%202024%2005:58:55%20GMT	http://test.b12sites.com/index	C:/My%20Web%20Sites/LAIT/test.b12sites.com/index	(from https://test.b12sites.com/)
01:58:57	339917/339917	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Apr%202024%2005:58:56%20GMT	https://test.b12sites.com/index	C:/My%20Web%20Sites/LAIT/test.b12sites.com/index-2.html	(from https://test.b12sites.com/)
01:58:57	7629/7629	---M--	200	added ('OK')	image/jpeg	etag:%229a2a8635c2468fad9eaf8065bd686baa%22	https://cdn.b12.io/client_media/Ks3VpJwP/dc70a392-3c5a-11ee-a6d9-0242ac110002-png-regular_image.jpeg	C:/My%20Web%20Sites/LAIT/cdn.b12.io/client_media/Ks3VpJwP/dc70a392-3c5a-11ee-a6d9-0242ac110002-png-regular_image.jpg	(from https://test.b12sites.com/)
01:58:58	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2022%20Apr%202024%2005:58:57%20GMT	http://test.b12sites.com/window.location	C:/My%20Web%20Sites/LAIT/test.b12sites.com/window.location	(from https://test.b12sites.com/)
01:58:59	979/979	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Apr%202024%2005:58:58%20GMT	https://test.b12sites.com/window.location	C:/My%20Web%20Sites/LAIT/test.b12sites.com/window.35.delayed	(from https://test.b12sites.com/)
01:58:59	151741/151741	---M--	200	added ('OK')	image/jpeg	etag:%22b1dbeadeafcb754db278f2ca3968e82e%22	https://cdn.b12.io/media/0e1d423c-3c8f-11e8-9369-0242ac11000f-space-desk-office-computer-hero_image.jpeg	C:/My%20Web%20Sites/LAIT/cdn.b12.io/media/0e1d423c-3c8f-11e8-9369-0242ac11000f-space-desk-office-computer-hero_image.jpg	(from https://test.b12sites.com/)
01:58:59	196353/196353	---M--	200	added ('OK')	image/jpeg	etag:%226ae0b714a531b37a13a2cbf5b4661a40%22	https://cdn.b12.io/media/e6228850-3c93-11e8-9369-0242ac11000f-pexels-photo-129205-hero_image.jpeg	C:/My%20Web%20Sites/LAIT/cdn.b12.io/media/e6228850-3c93-11e8-9369-0242ac11000f-pexels-photo-129205-hero_image.jpg	(from https://test.b12sites.com/)
01:59:00	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2022%20Apr%202024%2005:58:59%20GMT	http://test.b12sites.com/dell-computers-1658502	C:/My%20Web%20Sites/LAIT/test.b12sites.com/dell-computers-1658502	(from https://test.b12sites.com/)
01:59:01	280981/280981	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Apr%202024%2005:59:00%20GMT	https://test.b12sites.com/dell-computers-1658502	C:/My%20Web%20Sites/LAIT/test.b12sites.com/dell-computers-1658502.html	(from https://test.b12sites.com/)
01:59:01	195143/195143	---M--	200	added ('OK')	image/png	etag:%22ef8fd4555376a886683c6aa226466a8d%22	https://cdn.b12.io/client_media/Ks3VpJwP/5c00a724-3c60-11ee-a8d1-0242ac110002-png-regular_image.png	C:/My%20Web%20Sites/LAIT/cdn.b12.io/client_media/Ks3VpJwP/5c00a724-3c60-11ee-a8d1-0242ac110002-png-regular_image.png	(from https://test.b12sites.com/)
01:59:02	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2022%20Apr%202024%2005:59:00%20GMT	http://test.b12sites.com/apple-computers-1658503	C:/My%20Web%20Sites/LAIT/test.b12sites.com/apple-computers-1658503	(from https://test.b12sites.com/)
01:59:02	283231/283231	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Apr%202024%2005:59:01%20GMT	https://test.b12sites.com/apple-computers-1658503	C:/My%20Web%20Sites/LAIT/test.b12sites.com/apple-computers-1658503.html	(from https://test.b12sites.com/)
01:59:02	59334/59334	---M--	200	added ('OK')	image/jpeg	etag:%226fe408e935cff1153e3c1acdac775a96%22	https://cdn.b12.io/media/e4acad70-3c8e-11e8-9369-0242ac11000f-desk-computer-imac-home-regular_image.jpeg	C:/My%20Web%20Sites/LAIT/cdn.b12.io/media/e4acad70-3c8e-11e8-9369-0242ac11000f-desk-computer-imac-home-regular_image.jpg	(from https://test.b12sites.com/)
01:59:03	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2022%20Apr%202024%2005:59:01%20GMT	http://test.b12sites.com/computer-accessories-and-printers-1658504	C:/My%20Web%20Sites/LAIT/test.b12sites.com/computer-accessories-and-printers-1658504	(from https://test.b12sites.com/)
01:59:04	280561/280561	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Apr%202024%2005:59:03%20GMT	https://test.b12sites.com/computer-accessories-and-printers-1658504	C:/My%20Web%20Sites/LAIT/test.b12sites.com/computer-accessories-and-printers-1658504.html	(from https://test.b12sites.com/)
01:59:04	64351/64351	---M--	200	added ('OK')	image/jpeg	etag:%2297aebc95d1af2473e424778e5b91821b%22	https://cdn.b12.io/media/03e44f18-3c94-11e8-9369-0242ac11000f-office-home-glasses-workspace-regular_image.jpeg	C:/My%20Web%20Sites/LAIT/cdn.b12.io/media/03e44f18-3c94-11e8-9369-0242ac11000f-office-home-glasses-workspace-regular_image.jpg	(from https://test.b12sites.com/)
01:59:06	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2022%20Apr%202024%2005:59:03%20GMT	http://test.b12sites.com/assets/bundle-26df06bbde665912c7803cd668f15047.js	C:/My%20Web%20Sites/LAIT/test.b12sites.com/assets/bundle-26df06bbde665912c7803cd668f15047.js	(from https://test.b12sites.com/)
01:59:06	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2022%20Apr%202024%2005:59:05%20GMT	http://test.b12sites.com/scheduling	C:/My%20Web%20Sites/LAIT/test.b12sites.com/scheduling	(from https://test.b12sites.com/)
01:59:06	518382/518382	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2022%20Apr%202024%2005:59:05%20GMT	https://test.b12sites.com/assets/bundle-26df06bbde665912c7803cd668f15047.js	C:/My%20Web%20Sites/LAIT/test.b12sites.com/assets/bundle-26df06bbde665912c7803cd668f15047.js	(from https://test.b12sites.com/)
01:59:08	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2022%20Apr%202024%2005:59:06%20GMT	http://test.b12sites.com/request-form-476375	C:/My%20Web%20Sites/LAIT/test.b12sites.com/request-form-476375	(from https://test.b12sites.com/)
01:59:08	338580/338580	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Apr%202024%2005:59:06%20GMT	https://test.b12sites.com/scheduling	C:/My%20Web%20Sites/LAIT/test.b12sites.com/scheduling.html	(from https://test.b12sites.com/)
01:59:10	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2022%20Apr%202024%2005:59:07%20GMT	http://cdn.b12.io/prod_traffic/global.js	C:/My%20Web%20Sites/LAIT/cdn.b12.io/prod_traffic/global.47.delayed	(from https://test.b12sites.com/)
01:59:10	312595/312595	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Apr%202024%2005:59:07%20GMT	https://test.b12sites.com/request-form-476375	C:/My%20Web%20Sites/LAIT/test.b12sites.com/request-form-476375.html	(from https://test.b12sites.com/)
01:59:10	71295/71295	---MCZ	200	added ('OK')	application/javascript	etag:W/%229ca4809d57257e2816c1aa0a50fc8dea%22	https://cdn.b12.io/prod_traffic/global.js	C:/My%20Web%20Sites/LAIT/cdn.b12.io/prod_traffic/global.js	(from https://test.b12sites.com/)
01:59:11	884/884	---MC-	200	added ('OK')	text/javascript	date:Mon,%2022%20Apr%202024%2005:59:09%20GMT	https://www.google.com/recaptcha/api.js?render=6Ld1R8kUAAAAAGEYGyd1RXFcdSGY03uF4y_yN40A	C:/My%20Web%20Sites/LAIT/www.google.com/recaptcha/apifb47.js	(from https://test.b12sites.com/)
01:59:11	195143/195143	---M--	200	added ('OK')	image/png	etag:%22ef8fd4555376a886683c6aa226466a8d%22	https://cdn.b12.io/client_media/Ks3VpJwP/5ba88b0c-3c60-11ee-a8d1-0242ac110002-png-hero_image.png	C:/My%20Web%20Sites/LAIT/cdn.b12.io/client_media/Ks3VpJwP/5ba88b0c-3c60-11ee-a8d1-0242ac110002-png-hero_image.png	(from https://test.b12sites.com/dell-computers-1658502)
01:59:11	143156/143156	---M--	200	added ('OK')	image/jpeg	etag:%223cb4357e973dd1ebc37e8e97d19c3bc1%22	https://cdn.b12.io/media/e4309d2a-3c8e-11e8-9369-0242ac11000f-desk-computer-imac-home-hero_image.jpeg	C:/My%20Web%20Sites/LAIT/cdn.b12.io/media/e4309d2a-3c8e-11e8-9369-0242ac11000f-desk-computer-imac-home-hero_image.jpg	(from https://test.b12sites.com/apple-computers-1658503)
01:59:12	227186/227186	---M--	200	added ('OK')	image/jpeg	etag:%228dd17868672651807c04ab04bf629d3c%22	https://cdn.b12.io/media/039a877a-3c94-11e8-9369-0242ac11000f-office-home-glasses-workspace-hero_image.jpeg	C:/My%20Web%20Sites/LAIT/cdn.b12.io/media/039a877a-3c94-11e8-9369-0242ac11000f-office-home-glasses-workspace-hero_image.jpg	(from https://test.b12sites.com/computer-accessories-and-printers-1658504)
